DrawNo,DrawDate,DrawnNo1,DrawnNo2, DrawnNo3, DrawnNo4, DrawnNo5, DrawnNo6,BonusNo,Jackpot1, Jackpot2
513620,20200704,02,06,18,19,33,43,08,0627737405,0020452359
513720,20200705,14,27,30,32,41,46,15,0631954255,0021506572
513820,20200707,05,13,23,35,37,46,06,0635263671,0022333926
513920,20200708,15,18,22,24,38,48,44,0639145175,0023304302
514020,20200711,02,05,22,29,37,47,49,0643650225,0024430565
514120,20200712,14,19,35,38,39,50,12,0648078847,0025537721
514220,20200715,02,07,10,17,38,46,32,0652468177,0026635054
514320,20200718,04,11,14,28,30,42,29,0657017931,0027772493
514420,20200719,03,15,22,34,43,47,05,0661521353,0028898349
514520,20200722,03,04,08,10,11,27,42,0666220619,0030073166
514620,20200725,09,12,19,20,29,47,46,0122732882,0031034187
514720,20200726,10,12,19,22,39,40,49,0126278622,0031920622
514820,20200729,02,06,16,24,35,50,45,0129682088,0032771489
514920,20200801,02,06,17,20,26,29,07,0133201670,0033651385
515020,20200802,03,07,19,30,42,45,20,0136640534,0034511101
515120,20200805,08,14,34,35,37,44,06,0139980574,0035346111
515220,20200808,05,10,12,21,42,49,46,0143423860,0036206933
515320,20200809,14,25,30,44,48,50,28,0146806272,0037052536
515420,20200812,11,14,17,24,32,43,13,0150093534,0037874352
515520,20200815,08,14,15,16,28,33,07,0153555938,0038739953
515620,20200816,26,31,32,33,36,44,35,0156936678,0039585138
515720,20200819,05,10,18,22,40,44,19,0160298454,0040425582
515820,20200822,03,26,34,39,40,49,18,0163766138,0041292503
515920,20200823,05,07,11,23,31,37,29,0167155414,0042139822
516020,20200826,05,13,17,23,27,49,29,0170527552,0042982857
516120,20200829,07,11,14,21,27,45,19,0174057188,0043865266
516220,20200830,02,24,34,37,45,46,26,0177568190,0044743017
516320,20200901,10,17,26,29,33,39,46,0180343512,0045436848
516420,20200902,09,19,23,36,42,45,03,0183544138,0046237005
516520,20200905,12,14,17,42,43,49,35,0187030082,0047108491
516620,20200906,01,15,24,30,47,48,42,0190547046,0047987732
516720,20200909,07,08,21,40,45,48,06,0194025818,0048857425
516820,20200912,09,16,37,39,45,49,11,0197593778,0049749415
516920,20200913,08,09,10,11,14,27,18,0201220808,0050656173
517020,20200916,15,28,33,41,48,50,12,0204988242,0051598032
517120,20200919,02,18,23,36,47,48,34,0208675288,0052519794
517220,20200920,04,18,24,32,34,43,31,0212553536,0051102091
517320,20200923,08,16,32,39,44,47,24,0216043088,0051974479
517420,20200926,16,20,21,35,41,45,32,0219729430,0052896065
517520,20200927,09,19,20,35,40,46,22,0223397996,0053813207
517620,20200930,06,14,15,21,23,43,01,0227085702,0054735134
517720,20201003,06,09,18,29,30,32,47,0230882286,0055684280
517820,20201004,11,15,27,32,35,38,49,0234672798,0056631908
517920,20201007,03,07,13,29,35,42,39,0238252528,0057526841
518020,20201010,05,11,16,23,28,43,21,0241938518,0058448339
518120,20201011,08,13,15,27,33,41,29,0245536288,0059347782
518220,20201013,09,23,30,38,43,50,10,0248130220,0010000000
518320,20201014,01,09,17,34,43,44,29,0251028258,0010000000
518420,20201017,02,18,19,28,32,43,40,0121965192,0010000000
518520,20201018,01,16,34,36,41,50,20,0124993250,0010000000
518620,20201021,05,07,13,16,23,26,47,0127971324,0010000000
518720,20201024,02,07,33,34,48,50,40,0131087404,0010000000
518820,20201025,03,04,25,28,30,46,45,0134199986,0010000000
518920,20201028,06,12,19,23,39,42,02,0137264190,0010000000
519020,20201031,10,31,35,38,40,46,09,0140487960,0010000000
519120,20201101,04,05,23,27,31,47,21,0143680204,0010000000
519220,20201103,08,12,13,34,44,50,33,0146246284,0010000000
519320,20201104,06,15,22,30,37,45,46,0149236084,0010000000
519420,20201107,07,08,17,33,38,49,42,0152550956,0010000000
519520,20201108,09,16,41,44,45,46,18,0155904900,0010172470
519620,20201111,01,03,08,19,28,34,32,0159247624,0010545766
519720,20201114,05,10,13,14,27,46,18,0162698126,0011408392
519820,20201115,09,14,24,31,33,43,13,0166089866,0012256327
519920,20201118,01,02,11,12,15,34,30,0169427024,0013090617
520020,20201121,16,25,34,38,43,49,36,0172830248,0013941423
520120,20201122,08,18,27,38,43,44,39,0176249642,0014796272
520220,20201125,27,29,31,33,35,49,13,0179756442,0015672972
520320,20201128,01,03,11,32,33,36,09,0183378016,0016578366
520420,20201129,07,12,18,34,38,42,09,0187016068,0010000000
520520,20201201,01,17,22,27,34,36,10,0189840208,0010000000
520620,20201202,12,23,27,29,41,49,26,0193174506,0010000000
520720,20201205,09,15,20,26,30,39,42,0196809368,0010000000
520820,20201206,04,06,19,25,30,34,44,0200487020,0010000000
520920,20201209,01,18,19,32,45,49,12,0204156730,0010000000
521020,20201212,04,14,29,30,45,46,39,0207959474,0010000000
521120,20201213,22,26,31,38,43,50,28,0211837854,0010000000
521220,20201216,02,11,23,28,40,45,08,0215567492,0010000000
521320,20201219,04,11,17,21,22,45,09,0219381412,0010000000
521420,20201220,10,14,32,37,46,49,39,0223258076,0010000000
521520,20201223,10,25,30,31,34,37,36,0227047554,0010462837
